2010 Education by Immigration status in Oklahoma, race/ethnicity, gender, age 25+, wgtd 2008-10 ACS, SSDAN/U-Mich
5
RaceEth,Gender,AgeEduc,Immentry,EducAll
7,2,5,5,7
NhWhite, Black, Asian, Hispanic, AmIndian, NHOther,NHMulti
Male, Female
25-34,35-44,45-54,55-64,65+
Native,FB<1980,FB80-89,FB90-99,FB00-Current
0-9Yrs,10-12Yrs,HSGrad,SomeColl,CollGrad,Masters,PhD-Prof
5196,11575,51126,55312,30207,4776,2587,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
119,0,153,156,119,48,25,
103,104,131,116,413,74,87,
4521,10800,53007,51642,26085,6933,4110,
9,0,57,96,35,59,0,
0,0,162,254,84,0,0,
53,0,92,209,34,177,140,
42,0,66,188,362,66,19,
6179,13087,68376,59910,30355,9357,6037,
0,0,135,486,296,182,107,
0,14,0,49,140,80,176,
30,30,240,0,108,0,155,
0,0,92,125,0,0,33,
5832,9244,45707,55833,29991,11921,7787,
118,27,188,271,436,200,91,
0,0,76,135,58,27,33,
0,0,0,64,104,0,0,
0,0,0,60,9,20,0,
19064,17151,58538,46327,24501,10802,8406,
42,7,137,577,261,46,361,
0,28,67,0,0,32,0,
0,0,92,6,0,0,32,
27,0,0,53,0,0,0,
4098,8561,38140,59198,36221,6985,3165,
11,0,0,0,0,0,0,
0,0,0,13,40,0,0,
147,0,119,55,254,93,0,
93,28,110,699,355,79,0,
3530,6931,43386,56156,34304,9103,2445,
0,0,74,79,59,0,38,
0,0,213,82,78,0,0,
51,0,205,393,248,93,0,
42,118,274,223,71,65,102,
5763,9412,60929,72052,34659,12238,3124,
0,88,426,378,93,0,0,
0,31,252,232,147,41,0,
40,0,261,192,0,53,61,
0,0,0,0,18,0,37,
6126,10593,59906,55183,25480,14163,3097,
33,149,538,527,198,0,48,
0,64,88,111,0,0,0,
44,0,13,64,30,60,31,
0,18,48,0,87,0,0,
23236,26200,97343,58802,18912,10624,1823,
388,556,1400,1126,273,97,24,
0,42,60,28,31,0,0,
91,0,0,35,0,0,35,
29,0,0,95,0,0,0,
923,2318,7500,5750,2234,264,191,
0,0,0,0,0,0,0,
0,0,0,260,0,0,48,
0,0,0,29,0,0,0,
100,32,211,180,508,68,0,
399,1673,6346,5997,1684,498,0,
0,0,0,19,0,28,0,
0,0,129,0,75,0,0,
0,0,0,132,0,0,0,
0,0,255,196,152,80,14,
522,1001,7936,6160,1954,247,21,
0,21,0,59,35,0,0,
37,28,0,83,84,85,0,
0,0,0,0,49,0,0,
0,0,24,0,13,0,46,
280,840,4208,3633,1126,477,152,
0,77,28,51,152,0,0,
0,0,37,64,84,0,33,
0,39,0,0,0,43,28,
0,0,0,0,0,0,0,
1539,1116,3039,1792,732,436,135,
0,0,0,0,0,0,33,
9,3,0,0,0,0,0,
0,0,0,30,0,0,0,
0,0,0,0,0,52,0,
827,1399,4322,7972,3449,564,33,
0,0,0,0,0,0,0,
0,0,0,89,0,0,0,
0,0,0,58,164,0,0,
170,241,44,313,250,0,29,
287,748,4708,7330,2430,552,96,
0,0,0,0,0,0,0,
0,18,0,14,27,0,0,
0,49,3,203,68,55,0,
0,0,125,96,301,42,0,
682,1368,6115,6548,1894,1008,203,
0,0,33,0,0,0,0,
0,0,35,64,86,0,0,
0,0,0,0,80,43,0,
0,0,0,0,52,0,0,
385,1494,3697,4483,1822,765,225,
0,37,0,91,0,0,0,
0,0,0,0,0,92,0,
0,0,0,0,0,0,0,
70,0,0,0,0,0,0,
1559,1913,5580,2299,684,820,192,
0,0,0,0,0,0,0,
0,4,0,0,0,0,0,
0,0,0,0,0,0,0,
32,0,0,0,0,0,0,
45,173,116,607,801,142,0,
0,0,67,0,0,34,24,
0,55,0,265,141,142,36,
84,36,206,181,163,95,0,
421,103,134,278,400,799,192,
29,0,39,184,169,0,71,
0,0,0,261,207,103,24,
0,169,182,463,293,49,53,
98,52,258,348,506,154,196,
77,33,77,42,224,346,106,
0,0,7,367,0,0,0,
173,50,175,213,257,122,56,
62,34,111,435,168,89,170,
60,56,154,108,129,134,70,
36,0,282,33,71,51,129,
0,0,0,0,0,20,0,
69,39,99,57,37,180,284,
13,0,133,89,220,0,118,
4,112,128,136,41,153,0,
0,96,189,0,30,0,0,
0,67,158,113,10,0,47,
94,0,165,108,45,53,74,
72,67,97,75,147,68,0,
81,94,202,21,27,0,0,
0,29,10,0,0,0,0,
0,22,175,386,249,124,17,
0,0,43,67,27,0,0,
0,0,245,116,174,0,80,
0,36,282,439,502,129,0,
216,20,470,537,1048,644,134,
20,0,254,244,70,0,0,
0,98,125,33,240,41,13,
0,128,143,290,617,211,0,
192,292,561,318,504,302,159,
116,96,244,292,348,350,83,
32,0,216,11,54,0,0,
240,70,383,105,188,38,31,
277,201,685,212,180,86,85,
44,146,193,163,436,167,86,
60,95,79,59,87,48,201,
0,0,44,100,0,0,0,
505,107,548,337,176,97,0,
194,56,280,277,239,0,20,
95,77,255,111,86,23,0,
74,74,63,27,56,0,0,
0,81,45,0,145,0,0,
498,38,373,352,0,26,78,
357,60,23,37,0,0,0,
196,42,128,0,0,0,0,
45,0,0,0,17,0,0,
1119,1074,3874,3219,987,147,66,
0,64,4,0,0,0,0,
397,68,715,231,47,0,0,
4481,982,2419,670,0,0,0,
5577,1148,2700,676,574,77,0,
913,886,1869,2458,715,292,105,
179,0,135,409,77,0,0,
2359,631,1088,409,84,96,0,
3031,331,947,652,244,64,0,
2339,197,836,546,419,37,58,
1098,665,1592,1088,267,337,134,
1311,378,470,155,307,0,0,
1339,132,604,238,185,27,0,
753,191,745,56,221,42,57,
1042,31,404,66,131,0,195,
540,16,990,779,243,8,8,
1023,72,113,327,31,51,0,
352,41,80,61,0,0,6,
711,0,120,54,63,0,0,
446,60,38,23,0,0,0,
728,324,671,576,193,70,154,
545,0,87,56,78,0,0,
271,30,0,34,0,0,0,
72,0,0,42,0,0,0,
123,0,0,0,71,0,0,
585,716,3018,4378,1266,203,106,
81,0,0,114,0,0,0,
103,282,394,215,32,0,0,
2920,592,830,157,88,62,0,
3055,356,2589,1126,462,143,0,
545,376,2770,2709,577,231,86,
317,119,255,146,41,20,0,
1153,187,542,240,33,0,0,
1886,644,1595,480,186,101,0,
1384,305,728,776,137,112,58,
487,621,1504,1715,906,211,26,
608,50,271,258,220,29,0,
727,102,211,93,239,0,43,
1264,206,148,0,136,0,24,
676,85,199,26,28,0,0,
814,238,876,887,479,71,0,
505,39,32,116,163,64,0,
285,0,115,31,26,0,0,
398,0,213,0,0,0,0,
437,0,0,27,0,109,0,
604,298,827,267,54,0,23,
459,25,209,120,80,0,0,
492,0,0,0,31,9,0,
281,0,0,54,0,0,0,
420,0,0,0,0,0,0,
594,1770,6722,5895,1485,270,93,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,29,0,0,0,0,0,
626,1769,6660,4363,1756,320,95,
0,0,0,6,0,0,0,
