2010 Education by Immigration status in Pennsylvania, race/ethnicity, gender, age 25+, wgtd 2008-10 ACS, SSDAN/U-Mich
5
RaceEth,Gender,AgeEduc,Immentry,EducAll
7,2,5,5,7
NhWhite, Black, Asian, Hispanic, AmIndian, NHOther,NHMulti
Male, Female
25-34,35-44,45-54,55-64,65+
Native,FB<1980,FB80-89,FB90-99,FB00-Current
0-9Yrs,10-12Yrs,HSGrad,SomeColl,CollGrad,Masters,PhD-Prof
14277,27379,171213,156040,134506,31743,14091,
0,30,111,41,36,41,0,
68,0,423,432,572,163,60,
97,144,1631,726,924,204,276,
82,293,2099,1132,2729,1470,1369,
14787,27289,235574,161882,124834,43328,21664,
10,270,383,516,472,202,170,
0,138,760,719,410,258,298,
483,596,1542,1437,2002,1221,1155,
120,353,1855,874,2055,816,1043,
18452,39689,333335,180760,133795,49503,29311,
194,459,2463,1547,1278,580,354,
310,189,779,608,732,399,711,
172,221,1886,1088,995,912,794,
36,127,851,408,1080,224,286,
21184,29515,241263,155022,113502,58180,32369,
1096,591,2240,1878,1908,1365,996,
172,52,373,237,519,500,341,
59,98,680,503,577,264,376,
92,152,118,194,253,274,384,
73762,71729,287113,120290,84184,44515,32826,
3725,1890,4354,2321,1912,1432,2172,
67,52,156,155,224,146,268,
692,343,367,317,450,100,278,
67,47,212,144,331,134,94,
11528,17235,125949,161570,156030,55203,15455,
0,0,0,0,104,35,0,
0,0,281,152,418,97,73,
0,74,1284,670,1278,624,367,
135,356,1899,1725,2113,1821,1061,
10455,19405,199400,187861,141996,60869,15498,
0,48,446,636,566,117,68,
46,125,392,757,548,492,267,
138,161,2049,2710,2036,1344,683,
147,170,1720,814,1163,732,637,
15645,29518,315639,223245,139277,61595,17280,
281,232,1861,1379,1133,275,64,
98,145,952,965,941,227,282,
239,243,1637,1296,1399,586,621,
144,6,950,576,937,481,271,
16148,32184,291620,165854,91944,65746,15103,
973,1131,4293,2480,1577,1049,447,
190,40,221,600,656,454,281,
0,95,670,464,785,222,102,
377,82,1059,378,281,117,85,
99673,112138,501007,147108,74159,37708,9172,
7668,4538,10692,4653,1851,1570,537,
411,277,251,136,155,159,158,
1309,140,642,192,616,144,88,
512,0,417,84,354,33,114,
2856,8265,32470,23855,6409,1377,538,
0,0,0,0,0,0,0,
43,22,391,421,164,0,0,
122,87,536,626,843,86,132,
524,62,1219,856,798,321,85,
2441,8260,33240,24796,5568,1931,980,
0,0,111,619,83,0,8,
0,0,620,601,263,331,0,
213,132,855,905,367,450,118,
341,446,940,1005,824,599,146,
3051,9770,35936,20319,7731,2024,792,
0,200,661,282,391,187,0,
182,300,938,750,466,146,76,
259,30,623,545,385,186,73,
80,196,209,334,377,136,77,
3565,8177,23017,13415,4126,1476,1101,
189,64,371,434,215,144,124,
172,92,488,109,0,193,41,
32,132,141,0,215,30,54,
0,71,73,202,263,0,0,
7200,9221,17443,7440,2633,1204,868,
175,45,159,93,138,82,168,
70,26,100,90,0,0,0,
110,24,179,0,92,27,38,
69,44,64,59,0,0,65,
2368,7424,28399,30951,11249,4339,1196,
0,0,87,0,0,0,34,
0,0,52,343,227,103,51,
175,233,595,1214,610,80,0,
207,170,1176,1240,378,123,83,
2563,7282,33210,29151,9765,3250,891,
0,0,297,409,54,67,32,
124,152,539,843,889,218,0,
82,61,948,1316,228,126,65,
330,329,777,1267,253,149,138,
2263,8922,36446,29527,8372,5889,929,
0,137,550,528,269,77,175,
156,204,945,1294,406,164,98,
162,142,622,345,415,21,0,
255,80,311,643,348,0,59,
3244,8865,27055,20381,6142,3227,1134,
73,299,348,185,200,61,38,
274,236,44,445,21,31,0,
221,0,224,83,0,31,0,
68,68,128,113,100,0,66,
10712,15849,29990,14478,3192,3312,358,
461,274,401,90,100,0,0,
292,85,94,35,0,0,26,
275,162,249,72,54,0,0,
213,78,297,114,0,0,0,
0,79,893,1096,2977,597,682,
0,0,0,0,22,0,49,
24,239,877,695,874,54,436,
561,351,921,1534,1569,1315,497,
684,280,948,938,4363,4992,2887,
36,94,407,674,685,482,584,
108,49,199,547,517,408,442,
597,718,911,1181,1225,469,369,
798,521,1177,1114,2268,2586,1724,
427,83,526,718,2025,1702,1433,
208,55,489,264,410,241,94,
252,134,361,809,405,341,278,
762,1012,1248,802,1258,917,1227,
418,368,949,363,898,668,1129,
573,450,632,309,687,395,585,
0,35,200,100,239,35,151,
439,154,744,603,554,548,1640,
537,457,965,563,880,298,372,
421,274,573,127,562,268,421,
320,260,597,159,603,183,99,
147,50,156,38,141,17,0,
609,193,253,273,691,999,1488,
671,289,334,56,646,141,57,
671,310,631,318,563,178,0,
32,83,341,161,88,44,28,
24,137,632,946,2716,1116,1049,
0,0,115,70,333,96,124,
190,265,82,834,1578,579,385,
406,86,806,891,1968,584,287,
1242,644,1121,1924,6247,4181,2009,
159,10,169,499,747,590,273,
135,0,194,337,947,330,231,
382,305,888,940,1021,583,355,
1038,810,2111,2048,2267,1819,906,
682,800,1291,1019,3590,1725,1062,
30,43,335,656,303,271,152,
318,209,572,338,599,315,348,
802,596,1916,1633,1497,939,977,
1208,440,1524,863,1751,694,436,
288,459,750,825,715,414,73,
24,36,129,66,263,54,266,
801,498,1139,872,1762,817,206,
1015,346,737,308,650,362,186,
800,307,472,122,232,350,20,
929,696,765,67,630,72,0,
88,0,247,134,35,33,30,
1566,446,1216,451,578,712,318,
1149,260,855,182,203,80,37,
1489,367,611,51,365,0,101,
441,154,324,170,186,105,32,
3450,4591,13883,8586,2324,595,819,
0,103,35,0,0,0,28,
70,190,717,597,206,51,0,
3004,1207,1947,992,424,33,0,
3909,1270,4482,1433,431,332,178,
4009,4376,9603,6936,2338,753,409,
278,0,582,283,100,45,0,
1886,405,817,804,219,43,0,
1886,840,1798,723,32,92,254,
1636,586,1516,1135,543,110,399,
3668,3274,6710,4185,1879,669,297,
434,246,675,384,163,28,231,
710,330,305,742,142,34,136,
1271,235,494,303,179,0,394,
726,131,1122,286,302,126,57,
3455,1576,4269,1734,1053,434,284,
775,177,411,298,113,100,105,
596,104,390,33,79,80,134,
244,0,307,217,34,27,0,
166,0,134,123,48,0,0,
4511,580,1793,655,657,214,270,
469,49,530,276,168,158,191,
81,126,25,39,0,0,0,
143,0,57,0,39,0,0,
116,165,84,0,0,0,0,
2265,4617,11074,10872,3417,1094,605,
0,0,96,93,66,0,0,
0,91,431,376,88,45,57,
1770,469,1526,1843,408,41,36,
2520,475,2469,1260,579,428,258,
3001,3322,10197,7753,3111,1163,227,
117,238,217,171,38,39,81,
400,541,750,187,412,204,0,
1280,181,2370,1015,464,174,98,
2220,67,1839,1003,1036,411,315,
2872,3018,6673,5266,2543,826,684,
372,244,757,522,263,212,322,
477,304,736,618,318,101,82,
550,222,782,457,184,171,51,
1109,276,701,418,377,48,128,
3514,1672,3129,2616,897,408,143,
134,175,579,594,300,124,86,
413,104,245,146,197,86,40,
465,46,120,0,109,0,66,
270,34,403,134,101,129,71,
4288,1309,2812,1209,405,219,117,
1051,189,771,563,278,114,37,
341,97,88,85,0,0,0,
364,30,187,147,0,0,0,
496,22,164,0,0,0,45,
40,316,85,271,70,20,0,
0,0,0,0,0,0,0,
0,0,25,0,179,0,0,
0,0,0,0,0,0,0,
0,0,21,57,116,0,0,
16,118,297,272,243,69,41,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,22,38,0,0,0,
65,0,0,0,0,0,0,
138,174,569,481,190,17,0,
0,0,0,0,0,0,0,
0,0,30,0,0,0,0,
0,28,0,109,0,0,0,
0,54,32,0,0,0,0,
59,20,226,302,148,32,105,
0,0,0,0,0,0,0,
0,0,0,71,0,0,0,
0,0,0,0,0,0,0,
0,18,14,0,0,0,0,
191,61,49,190,90,38,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
28,0,0,0,0,0,0,
0,0,0,0,0,0,0,
33,27,275,558,62,19,0,
0,0,0,0,0,0,0,
0,0,0,117,0,0,0,
0,0,0,0,0,0,134,
0,0,0,0,0,0,0,
31,149,272,436,271,230,0,
0,0,28,30,0,0,0,
0,0,31,0,9,0,0,
0,0,0,0,0,0,0,
0,0,0,0,21,0,0,
90,129,517,498,122,28,0,
0,0,0,0,0,0,0,
0,0,6,9,42,0,0,
24,0,0,0,0,0,0,
0,0,45,32,0,0,0,
113,132,351,163,64,30,30,
44,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
40,181,206,300,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,401,134,0,0,
0,0,0,0,0,86,0,
0,0,0,0,129,0,0,
27,0,18,0,0,0,0,
0,0,514,81,231,0,66,
0,0,38,67,220,20,85,
0,0,152,135,0,0,0,
0,0,0,0,0,0,40,
35,275,0,0,0,145,0,
0,0,140,11,176,0,0,
0,113,68,112,105,41,30,
0,0,31,176,0,0,0,
0,0,0,0,188,104,49,
0,0,0,0,12,103,0,
0,0,0,0,0,140,0,
0,0,35,76,159,198,67,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,53,40,31,32,0,
0,111,0,0,0,25,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
110,49,113,131,244,86,109,
0,0,0,0,0,0,0,
0,0,0,0,57,0,0,
0,80,0,0,144,41,0,
0,0,0,171,178,32,0,
0,0,87,184,51,163,45,
0,0,0,0,125,0,0,
0,23,0,0,125,0,0,
0,239,0,28,35,0,0,
0,0,127,0,70,35,0,
40,27,75,328,258,126,18,
0,0,0,22,0,0,0,
0,25,0,0,39,39,0,
9,0,0,18,0,0,0,
0,0,0,0,0,0,0,
0,0,30,41,57,0,108,
0,0,0,39,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
100,0,0,0,0,0,0,
0,11,71,10,59,0,25,
0,0,0,39,0,0,0,
0,0,0,0,0,0,0,
0,0,104,0,0,0,0,
0,0,0,0,0,0,0,
97,808,2681,2287,1743,113,36,
0,0,57,46,0,0,0,
0,53,169,0,0,0,24,
27,0,0,138,0,0,0,
46,23,21,118,94,296,0,
62,284,2361,2158,888,336,111,
0,0,77,146,0,0,0,
0,0,0,50,136,0,0,
0,0,215,0,49,32,53,
14,22,173,52,0,0,4,
237,297,1748,1353,622,126,240,
0,0,117,105,151,56,0,
22,0,0,37,7,0,26,
0,0,154,129,145,0,0,
