2010 Education by Immigration status in Rhode Island, race/ethnicity, gender, age 25+, wgtd 2008-10 ACS, SSDAN/U-Mich
5
RaceEth,Gender,AgeEduc,Immentry,EducAll
7,2,5,5,7
NhWhite, Black, Asian, Hispanic, AmIndian, NHOther,NHMulti
Male, Female
25-34,35-44,45-54,55-64,65+
Native,FB<1980,FB80-89,FB90-99,FB00-Current
0-9Yrs,10-12Yrs,HSGrad,SomeColl,CollGrad,Masters,PhD-Prof
1087,1850,10970,12789,11228,2798,1057,
0,0,27,31,22,0,0,
20,66,97,20,16,0,61,
81,61,65,182,146,26,76,
0,21,0,75,418,177,121,
1808,2811,13440,13569,11762,3646,2192,
122,206,498,424,215,35,25,
46,51,108,97,43,50,18,
0,26,155,26,77,40,96,
48,0,188,79,74,56,26,
2036,3446,19414,17168,12109,4900,2604,
398,376,595,475,387,93,0,
150,139,281,342,127,44,67,
43,0,50,40,136,0,94,
0,17,22,25,21,30,0,
2235,2283,12478,12358,11962,5813,3195,
1107,324,622,352,327,118,85,
23,33,65,46,89,68,81,
109,0,0,29,60,6,63,
58,0,29,0,0,37,0,
6402,5040,14455,9641,7938,4857,2851,
2398,453,658,459,369,111,314,
128,25,0,64,0,0,0,
122,21,63,0,90,22,29,
0,0,0,0,16,0,0,
579,1211,8494,13713,13196,4479,1072,
0,0,0,131,0,0,0,
0,0,0,184,112,20,0,
0,55,60,178,59,33,21,
38,22,80,85,199,132,44,
1100,1199,11090,17188,13053,6296,1851,
135,130,415,343,81,43,40,
137,21,29,106,18,48,25,
0,0,116,358,195,96,182,
0,18,158,126,142,32,27,
1490,2257,17127,22480,13429,7536,1342,
468,208,1292,703,139,81,27,
144,123,109,119,37,83,27,
42,25,104,98,165,38,0,
18,0,46,58,14,21,0,
1365,1778,15875,15619,9082,7404,1994,
1171,277,845,533,239,107,100,
131,87,70,7,107,104,23,
23,0,26,32,59,86,0,
61,0,44,0,0,0,0,
8891,9449,30506,13357,6936,4424,1024,
3063,779,1536,653,372,289,135,
150,0,0,58,0,0,0,
149,0,0,57,27,0,0,
26,0,29,0,16,0,0,
102,381,1025,1081,292,19,0,
0,0,0,0,82,0,0,
43,0,102,255,73,25,0,
0,0,329,75,17,0,0,
0,89,367,288,0,52,93,
75,498,532,464,164,190,0,
55,0,128,25,34,0,0,
47,0,213,112,0,0,0,
223,18,293,344,81,33,0,
246,0,137,68,158,90,0,
169,327,610,650,121,0,53,
60,41,0,65,0,0,0,
247,41,88,150,427,69,0,
37,64,47,82,0,134,0,
90,44,72,76,19,0,0,
256,145,182,380,288,92,0,
81,38,252,64,232,0,19,
151,0,0,27,47,22,0,
63,0,0,91,135,0,0,
37,0,0,0,22,0,0,
131,190,272,166,125,0,0,
136,0,0,25,26,0,0,
114,0,0,0,0,0,0,
48,0,83,0,0,0,0,
93,0,0,0,0,0,0,
181,111,856,876,99,31,80,
0,0,0,65,0,0,0,
72,74,86,170,22,0,27,
140,149,295,33,73,25,20,
128,35,190,192,59,0,0,
69,124,631,1017,309,258,114,
0,0,66,100,84,0,0,
55,59,117,97,0,0,0,
100,121,277,190,83,0,0,
78,140,253,22,55,83,0,
363,25,845,720,232,58,66,
177,0,203,23,61,0,0,
156,0,217,334,46,80,0,
52,0,100,112,46,30,0,
166,8,0,64,0,22,0,
110,63,599,477,133,49,21,
231,23,33,40,14,0,0,
84,18,148,34,220,0,0,
20,0,149,25,0,0,0,
56,0,37,0,0,0,0,
323,296,282,274,135,99,0,
140,22,68,32,0,0,0,
165,42,0,23,0,0,0,
170,0,0,0,0,36,0,
197,0,0,0,0,0,0,
0,135,71,342,183,66,93,
0,0,24,0,0,0,0,
42,26,176,147,144,0,0,
0,0,205,67,110,36,0,
39,73,0,118,557,234,374,
28,0,0,54,129,55,48,
0,0,19,8,0,0,0,
0,0,522,100,146,32,29,
45,0,38,49,96,212,151,
41,28,0,57,56,128,26,
40,0,74,63,12,16,26,
54,91,100,0,0,0,0,
254,85,237,27,6,34,20,
0,115,18,47,103,76,17,
58,0,107,0,184,0,45,
0,0,0,0,0,19,0,
0,41,41,89,93,28,13,
97,0,105,61,0,0,0,
83,0,31,0,0,0,33,
24,0,62,54,0,0,0,
0,0,0,0,13,23,0,
14,0,46,22,45,60,58,
183,49,9,0,0,0,53,
22,0,27,44,13,0,0,
32,0,26,0,44,10,0,
0,0,127,143,179,93,134,
0,0,0,46,0,0,0,
0,0,39,362,140,0,57,
0,0,68,125,54,0,0,
137,0,100,120,606,335,20,
30,36,86,0,98,0,29,
0,0,28,60,54,5,0,
0,232,172,138,45,124,0,
71,21,72,0,221,205,0,
125,0,142,37,162,0,35,
0,0,227,38,16,222,0,
0,0,47,0,87,37,0,
325,31,277,48,171,29,44,
0,46,75,0,90,38,22,
70,93,19,0,179,0,0,
0,0,179,0,0,0,28,
23,0,130,18,101,0,14,
225,36,32,73,34,0,17,
77,18,49,0,70,0,0,
64,0,153,0,29,0,0,
38,17,30,0,9,0,0,
0,0,153,11,106,27,29,
269,15,32,0,0,0,0,
80,0,20,0,0,0,23,
48,0,65,0,29,0,0,
302,654,1418,1083,399,0,73,
0,0,0,0,0,0,0,
0,236,236,134,30,73,0,
1099,468,736,254,316,88,45,
1098,566,512,219,97,61,31,
410,317,765,541,209,154,108,
56,0,71,0,63,17,0,
462,25,708,457,133,0,0,
771,262,741,681,43,0,0,
714,29,333,168,231,0,0,
310,329,255,260,97,49,31,
156,162,231,98,70,0,0,
362,150,360,235,31,29,0,
374,117,426,283,136,0,0,
344,91,115,114,116,0,42,
164,97,422,27,7,26,20,
446,43,182,0,174,18,0,
145,0,246,58,26,0,33,
278,112,98,27,0,0,0,
85,31,99,19,0,0,0,
257,138,112,49,24,0,0,
324,30,223,0,0,0,13,
218,35,0,51,0,0,0,
189,0,0,0,0,30,0,
180,0,24,0,0,0,0,
318,687,617,1980,504,69,66,
0,0,24,56,0,0,0,
26,96,305,416,0,0,0,
464,145,929,554,25,0,0,
646,400,389,663,119,83,17,
432,305,1040,881,918,83,37,
0,0,0,300,121,0,0,
163,273,371,398,138,20,0,
652,288,741,482,94,14,0,
668,139,299,245,220,0,25,
224,98,167,540,290,56,28,
38,102,223,87,19,0,0,
833,414,319,480,166,0,0,
235,315,467,112,183,0,0,
448,131,236,211,0,0,0,
388,227,340,89,20,129,14,
79,209,165,141,107,0,25,
286,23,105,40,84,125,0,
499,47,94,190,0,0,0,
323,0,16,24,0,0,0,
348,82,157,18,0,38,0,
492,96,140,59,13,21,32,
240,32,0,0,0,0,0,
438,41,51,0,0,0,0,
303,0,27,0,0,0,0,
0,0,62,143,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,40,123,36,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,36,0,0,0,0,
0,0,40,0,0,0,0,
0,86,0,131,0,27,0,
0,0,0,0,0,0,0,
0,0,0,29,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
25,0,73,0,0,0,0,
0,0,0,0,0,0,0,
0,0,23,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
77,28,16,13,0,0,0,
27,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,24,48,198,0,20,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
67,0,47,151,0,23,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,20,0,0,0,
0,0,0,0,0,0,0,
30,0,99,110,24,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
38,0,0,0,0,0,0,
0,0,0,0,0,0,0,
12,33,0,0,0,13,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
43,106,48,78,0,58,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,143,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,64,0,0,0,
0,20,66,0,0,24,0,
0,0,0,0,0,0,0,
0,0,172,77,0,71,0,
0,0,0,0,21,0,0,
0,25,22,100,0,0,0,
0,0,0,19,0,0,0,
70,0,202,0,0,0,0,
0,0,45,203,0,0,0,
0,0,0,0,0,0,0,
0,0,64,125,0,0,0,
0,0,83,21,40,0,0,
0,0,0,0,0,0,0,
0,0,37,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,30,19,0,0,0,0,
0,42,0,0,0,0,16,
0,17,0,0,0,0,0,
26,0,0,0,0,0,0,
0,0,0,0,0,0,0,
60,58,64,119,63,73,0,
0,0,72,0,0,0,0,
0,0,0,22,0,0,0,
0,0,0,254,0,33,0,
0,0,0,17,23,0,0,
0,0,64,68,0,0,0,
0,0,0,1,0,0,0,
53,36,51,0,0,0,0,
0,0,51,0,0,0,0,
0,0,0,0,0,0,0,
49,0,0,109,16,0,0,
22,0,0,40,20,0,0,
0,0,0,0,0,0,0,
0,0,0,28,0,0,48,
0,0,28,124,0,0,0,
0,0,97,85,0,0,0,
23,0,0,0,0,0,0,
0,0,56,0,0,0,0,
60,0,0,36,0,0,0,
0,0,0,0,0,0,0,
33,19,23,29,69,0,0,
136,0,0,0,0,0,0,
50,0,0,0,0,0,0,
0,0,35,0,0,0,0,
43,60,0,0,0,0,0,
21,167,376,342,76,24,49,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
47,123,351,245,72,26,0,
32,0,0,0,0,0,0,
0,0,53,0,0,0,0,
0,0,0,0,23,0,0,
36,0,0,0,0,0,0,
91,49,358,261,58,100,20,
44,0,0,25,0,0,24,
0,0,0,0,0,0,0,
19,0,0,0,0,0,0,
0,0,0,0,0,0,0,
30,0,49,154,66,24,0,
10,0,0,0,73,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,88,0,0,0,0,
44,79,74,0,0,0,13,
26,0,70,0,0,0,0,
0,0,0,0,0,0,0,
64,0,0,0,0,0,0,
0,0,0,0,0,0,0,
33,0,182,513,276,13,0,
0,0,0,0,21,64,0,
0,0,64,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,31,0,123,0,
0,56,109,249,165,240,115,
0,0,0,44,0,0,0,
0,0,0,29,0,0,0,
0,0,0,0,0,0,0,
0,0,22,0,0,0,0,
47,43,123,298,81,129,38,
0,0,0,30,0,0,0,
0,0,0,20,0,0,0,
0,20,0,0,0,0,0,
0,0,0,0,0,0,0,
34,0,123,176,56,57,0,
15,0,31,0,0,0,0,
