2010 Education by Immigration status in South Dakota, race/ethnicity, gender, age 25+, wgtd 2008-10 ACS, SSDAN/U-Mich
5
RaceEth,Gender,AgeEduc,Immentry,EducAll
7,2,5,5,7
NhWhite, Black, Asian, Hispanic, AmIndian, NHOther,NHMulti
Male, Female
25-34,35-44,45-54,55-64,65+
Native,FB<1980,FB80-89,FB90-99,FB00-Current
0-9Yrs,10-12Yrs,HSGrad,SomeColl,CollGrad,Masters,PhD-Prof
953,1615,11730,16009,10198,1476,507,
0,0,0,0,0,0,0,
0,0,0,9,0,0,0,
0,0,159,225,0,0,0,
65,0,11,38,0,34,0,
981,1690,12653,13986,8667,1443,1226,
0,0,6,0,38,0,0,
0,0,0,0,0,0,0,
0,0,131,31,61,0,56,
0,0,0,126,0,66,0,
1822,1946,19613,15575,8708,2373,2306,
0,0,0,0,0,15,0,
0,0,0,28,0,0,0,
109,0,47,242,35,52,0,
0,0,0,42,27,0,6,
2066,1125,14025,12772,9621,2976,1781,
0,0,61,79,28,156,122,
0,0,0,42,0,0,0,
0,0,10,0,0,0,0,
0,0,0,0,0,50,0,
7543,3161,18088,8015,5087,3015,2762,
109,44,63,56,54,0,0,
0,0,0,46,0,0,0,
0,0,6,0,0,0,0,
0,0,0,0,0,0,0,
687,483,7972,16596,11954,2014,681,
0,0,0,0,0,0,0,
0,0,0,22,39,0,0,
0,0,0,0,0,0,0,
0,0,3,10,46,38,0,
511,845,8531,15237,10564,2776,1038,
0,0,36,7,58,0,0,
0,0,51,33,0,0,0,
0,0,88,100,0,0,0,
0,0,43,39,0,0,8,
908,1658,16091,18444,9708,3686,1097,
0,0,100,57,0,46,0,
0,7,0,73,46,0,0,
0,0,46,34,202,0,0,
0,0,121,0,0,0,0,
821,729,14211,15910,7851,2999,630,
0,0,43,0,92,43,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
7271,3567,26256,15503,6636,2003,219,
155,11,126,132,103,54,0,
0,0,0,0,0,0,52,
50,0,0,0,0,40,0,
0,0,0,0,0,0,0,
0,30,105,439,35,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,12,0,
172,0,0,15,0,0,0,
