2010 Education by Immigration status in Tennessee, race/ethnicity, gender, age 25+, wgtd 2008-10 ACS, SSDAN/U-Mich
5
RaceEth,Gender,AgeEduc,Immentry,EducAll
7,2,5,5,7
NhWhite, Black, Asian, Hispanic, AmIndian, NHOther,NHMulti
Male, Female
25-34,35-44,45-54,55-64,65+
Native,FB<1980,FB80-89,FB90-99,FB00-Current
0-9Yrs,10-12Yrs,HSGrad,SomeColl,CollGrad,Masters,PhD-Prof
7216,21953,100471,83830,54120,12539,4901,
0,0,24,0,18,0,0,
0,0,123,185,80,58,21,
140,212,673,455,237,85,74,
20,165,402,535,649,302,359,
16057,23521,110344,88866,57229,16010,8862,
0,0,235,123,125,0,36,
0,0,77,569,270,0,63,
59,45,483,692,305,318,278,
73,70,572,520,441,215,210,
24484,29389,124651,90904,54873,17052,11756,
26,56,129,562,416,289,125,
27,57,135,234,204,87,84,
181,24,379,382,356,34,199,
0,54,116,377,659,115,68,
25564,20563,93785,79532,51815,20225,14068,
20,53,317,885,473,113,280,
0,62,101,279,178,60,197,
22,33,98,281,217,47,84,
28,20,45,14,245,71,19,
58691,27353,96076,64027,38110,16332,14375,
172,127,430,506,191,277,462,
62,0,66,64,104,23,60,
0,0,141,31,169,23,52,
0,37,37,0,34,0,25,
5253,16316,78057,94712,68583,21495,6156,
0,0,0,22,18,22,0,
0,0,108,129,193,56,32,
30,167,272,336,362,252,38,
210,0,719,325,720,412,179,
11210,16482,96328,107179,62387,22660,7140,
0,28,62,133,163,29,31,
0,27,251,229,111,46,0,
97,66,697,852,369,189,295,
30,0,453,401,900,79,188,
17702,21288,125033,117281,57523,21367,7219,
69,0,282,357,241,166,60,
0,31,360,406,519,62,120,
95,20,306,402,372,220,113,
43,0,150,311,516,76,69,
21873,20796,120044,92003,40040,24731,6011,
54,75,700,861,193,20,71,
0,29,129,182,96,0,82,
0,68,158,55,122,113,72,
36,0,157,136,315,0,29,
75463,46014,157084,84979,28386,16221,3833,
536,507,1466,1604,677,286,81,
31,0,157,61,33,25,33,
0,0,131,51,183,22,0,
35,0,36,136,16,39,0,
2891,9493,23657,19656,7685,1115,318,
0,0,0,0,0,0,0,
0,0,63,133,27,26,0,
170,0,69,283,214,25,0,
135,173,635,605,280,20,24,
1482,6996,26479,18962,6891,1958,461,
0,0,26,23,31,0,0,
0,0,55,72,27,0,108,
178,0,109,241,256,77,55,
415,131,351,403,344,218,16,
3716,8815,27690,17889,5127,1137,786,
0,0,0,34,175,38,36,
0,0,0,125,51,166,57,
0,0,0,209,186,44,58,
0,26,110,198,144,40,43,
3920,6361,16138,12354,3970,1418,632,
0,0,27,51,39,247,0,
0,0,0,22,0,0,30,
0,0,55,85,81,0,0,
0,0,77,0,33,0,30,
8648,4848,8339,4856,2359,868,501,
64,32,65,28,0,0,0,
0,0,0,0,30,0,39,
0,0,32,0,0,0,0,
63,0,25,0,0,0,0,
2191,6560,20598,29333,11086,4310,659,
0,0,0,0,0,0,0,
32,112,0,82,0,0,21,
171,0,132,573,140,25,0,
192,236,226,603,66,151,22,
1704,6483,24008,27405,10694,4477,1119,
0,0,32,0,107,0,55,
0,0,163,85,54,57,28,
99,0,310,135,108,118,94,
84,76,396,98,358,0,122,
