2010 Education by Immigration status in Texas, race/ethnicity, gender, age 25+, wgtd 2008-10 ACS, SSDAN/U-Mich
5
RaceEth,Gender,AgeEduc,Immentry,EducAll
7,2,5,5,7
NhWhite, Black, Asian, Hispanic, AmIndian, NHOther,NHMulti
Male, Female
25-34,35-44,45-54,55-64,65+
Native,FB<1980,FB80-89,FB90-99,FB00-Current
0-9Yrs,10-12Yrs,HSGrad,SomeColl,CollGrad,Masters,PhD-Prof
13659,31775,170272,245405,176814,33593,17944,
73,0,21,249,204,32,0,
170,117,994,1048,979,116,124,
734,264,752,1602,1566,834,154,
888,382,2306,2917,4238,2835,1205,
16139,31624,176643,243583,182063,55563,26237,
220,100,580,1144,1327,698,221,
667,27,719,1063,1143,987,600,
550,290,1891,2028,2410,2123,1883,
300,232,1987,1411,3647,2152,1601,
23296,42859,234277,277197,197047,65679,34441,
339,269,1550,3160,2965,1527,762,
307,124,864,1997,1969,1388,1047,
226,147,1045,1719,2208,1229,912,
316,288,1020,1263,1812,1048,885,
21861,25973,150419,239434,178703,71408,38432,
542,513,1251,3443,3579,1691,1401,
129,82,944,973,1148,591,704,
237,54,183,578,1399,891,331,
232,56,739,536,865,250,368,
56205,46339,191164,200367,145153,61669,42539,
802,939,1919,3258,2583,1598,1788,
109,40,305,573,694,299,331,
257,170,449,432,230,240,351,
369,103,433,300,507,95,265,
11790,26083,129850,240384,207645,50299,14512,
0,14,0,0,210,0,53,
289,53,208,1093,1064,280,121,
507,472,1302,1924,2165,728,443,
706,489,1933,3126,4993,2550,898,
13803,23949,150508,260289,195255,60586,17645,
52,18,658,1197,1637,343,297,
324,176,870,1479,1051,270,389,
183,298,1827,3979,3358,1530,1089,
558,345,1983,2047,2860,1935,705,
19004,32370,225888,314556,204030,68038,19065,
385,423,1779,3366,1693,537,296,
583,178,1773,2519,1942,717,521,
347,243,1663,2480,1707,1103,604,
724,184,1529,1131,2083,462,365,
20078,29586,204834,260251,148960,73680,15356,
705,588,3170,5115,2690,759,414,
249,23,1388,1100,852,407,281,
305,189,727,670,821,445,574,
662,155,820,641,495,144,152,
