2010 Education by Immigration status in Utah, race/ethnicity, gender, age 25+, wgtd 2008-10 ACS, SSDAN/U-Mich
5
RaceEth,Gender,AgeEduc,Immentry,EducAll
7,2,5,5,7
NhWhite, Black, Asian, Hispanic, AmIndian, NHOther,NHMulti
Male, Female
25-34,35-44,45-54,55-64,65+
Native,FB<1980,FB80-89,FB90-99,FB00-Current
0-9Yrs,10-12Yrs,HSGrad,SomeColl,CollGrad,Masters,PhD-Prof
1478,7574,40470,70397,40541,9565,3635,
0,0,113,25,77,0,0,
0,56,108,110,30,29,0,
0,60,168,213,156,126,0,
0,375,141,706,618,162,83,
924,5393,29246,44833,29612,11877,5204,
0,33,20,222,72,34,53,
0,0,0,132,159,108,25,
0,67,201,286,386,183,45,
0,122,195,126,166,83,91,
1372,5958,30784,44744,26672,10455,5733,
0,0,248,505,423,210,91,
0,0,71,202,119,136,110,
0,0,185,228,355,0,93,
75,27,188,184,49,106,0,
1051,3095,17595,36065,23530,10912,6648,
33,15,174,733,380,87,22,
20,35,30,29,77,51,69,
37,0,244,45,127,88,0,
25,27,19,141,187,0,0,
3488,5892,23821,30185,18004,9439,7187,
106,387,639,679,505,227,380,
57,0,70,93,36,173,0,
34,0,98,25,22,54,27,
0,53,26,143,36,24,0,
1522,6246,36728,72336,43014,6805,1721,
0,0,73,23,0,0,0,
0,0,26,234,22,62,33,
0,64,123,350,82,0,37,
117,65,94,472,356,300,30,
1296,3329,25411,54486,28854,7667,1854,
0,25,73,167,94,56,94,
0,0,27,88,102,52,30,
0,0,330,499,415,147,144,
28,60,60,311,284,179,26,
926,5065,31406,55572,23107,8318,2361,
0,105,173,379,241,218,39,
0,0,242,432,296,194,27,
56,0,185,305,235,81,0,
32,0,173,299,230,118,0,
969,2957,24672,43521,18827,8554,1752,
0,54,703,904,447,479,0,
0,28,116,122,95,38,32,
0,48,23,73,64,41,89,
0,32,0,54,27,75,0,
3888,8739,43936,40468,15203,4597,1100,
521,427,1247,1610,342,70,80,
0,69,37,176,0,16,26,
279,33,75,0,30,0,0,
0,0,80,0,89,24,0,
72,173,162,422,223,171,0,
0,0,0,0,0,0,0,
0,0,0,0,77,0,0,
0,34,62,67,231,0,0,
29,157,92,225,0,25,33,
11,140,284,804,184,0,14,
0,0,0,0,0,0,0,
0,0,0,0,0,0,18,
0,57,240,0,0,0,0,
34,0,69,104,43,0,0,
0,108,557,759,89,52,14,
0,0,0,0,0,104,0,
0,0,14,32,0,33,0,
0,0,22,0,0,0,28,
141,80,0,0,40,0,0,
66,58,102,243,301,56,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,56,0,0,0,0,0,
114,30,119,174,22,87,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,20,0,0,0,0,
0,0,20,0,0,0,0,
0,166,172,577,191,41,0,
0,0,0,0,0,0,0,
0,14,0,0,0,0,0,
61,0,34,0,0,0,0,
92,0,152,0,68,0,87,
0,43,152,345,516,0,0,
0,0,0,0,0,0,36,
20,0,0,0,46,0,0,
0,0,46,0,38,7,0,
0,55,79,173,0,0,51,
0,0,403,476,73,128,42,
0,0,0,0,0,0,0,
0,0,112,72,120,0,0,
0,0,0,0,0,0,0,
153,96,18,0,22,0,0,
0,32,182,85,51,13,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
24,0,0,0,0,0,0,
26,153,256,103,0,41,0,
0,31,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
19,0,0,78,0,0,0,
63,107,974,1303,491,37,35,
0,0,0,96,13,0,0,
8,141,80,161,98,54,22,
23,67,56,88,129,207,109,
72,232,205,543,980,623,208,
121,0,158,390,203,124,39,
0,0,223,446,275,154,54,
0,49,379,323,224,98,132,
111,188,292,70,113,211,159,
28,0,161,36,343,88,138,
43,0,380,387,223,76,23,
182,67,167,236,60,0,71,
113,128,269,157,130,182,113,
44,30,68,68,176,68,82,
198,20,466,104,86,0,27,
0,0,137,83,306,25,52,
49,17,171,18,221,83,80,
189,142,298,121,40,87,28,
68,0,204,47,35,23,0,
77,0,71,0,133,0,23,
0,0,138,278,84,36,78,
58,0,323,154,74,41,0,
47,85,69,73,0,38,0,
47,0,0,46,32,0,0,
88,0,0,0,26,0,0,
30,93,915,955,585,56,33,
0,0,26,201,77,0,0,
0,64,95,171,219,84,95,
37,29,257,340,321,98,76,
53,58,236,855,1020,505,81,
0,0,313,240,229,177,30,
0,0,30,532,205,86,0,
49,109,282,411,80,132,0,
111,246,439,575,390,268,171,
286,0,46,257,335,147,68,
0,0,223,720,246,54,60,
107,65,415,291,128,265,31,
154,115,515,300,170,59,35,
0,41,116,200,408,24,59,
102,0,232,126,109,0,0,
0,15,225,225,273,134,0,
167,0,433,309,199,80,0,
153,25,218,54,164,0,0,
137,64,238,44,26,0,0,
38,44,161,116,0,0,0,
66,95,117,142,136,43,0,
82,50,417,103,38,51,0,
168,195,147,97,25,0,0,
30,0,78,0,37,0,0,
0,0,25,24,36,0,0,
406,1624,4048,4295,1417,268,0,
0,23,26,150,0,34,28,
0,300,495,695,29,26,33,
2603,1608,3127,1191,216,0,0,
3943,1172,2235,1220,338,97,117,
343,1033,1847,2743,692,228,102,
121,69,409,159,22,0,67,
2412,867,598,608,138,67,0,
2785,642,2806,913,359,86,55,
1946,461,994,596,545,0,0,
279,577,2081,1805,659,169,22,
710,316,296,423,94,119,43,
1436,274,947,421,171,45,0,
895,202,223,603,104,130,34,
543,88,74,305,44,94,130,
438,212,844,1114,346,112,153,
865,114,98,227,84,12,0,
420,29,106,140,162,0,0,
165,119,148,150,37,24,29,
128,49,151,232,27,0,0,
845,472,931,633,194,31,43,
504,97,296,29,84,0,0,
47,0,0,22,0,0,0,
307,0,70,0,156,0,0,
100,0,25,0,0,0,0,
372,788,4084,3867,1463,183,0,
0,65,33,114,13,0,0,
201,240,577,465,158,57,0,
2866,965,1938,949,431,96,0,
2770,366,2345,1569,528,48,27,
274,865,2593,2653,1158,158,94,
54,23,201,154,151,21,0,
969,417,686,415,27,110,0,
2925,615,1969,939,765,125,0,
1316,426,856,621,324,67,155,
386,748,1808,2506,449,149,100,
361,272,94,331,131,85,0,
990,126,426,548,244,105,0,
1278,141,502,348,142,52,0,
798,0,310,311,360,106,0,
123,372,1444,1673,280,97,18,
757,74,102,270,111,0,0,
89,0,266,65,0,0,0,
529,0,433,78,27,0,24,
180,42,45,78,64,0,0,
713,721,1179,825,95,121,50,
312,119,175,160,105,71,0,
157,0,179,0,40,0,0,
300,0,241,0,0,0,0,
150,0,74,48,0,0,0,
155,181,1157,849,127,74,0,
0,0,0,0,0,0,0,
0,0,0,25,0,0,0,
0,0,22,25,0,0,0,
0,0,0,30,0,0,0,
0,209,1241,420,313,0,0,
0,0,0,0,0,0,0,
0,0,28,0,0,0,0,
0,0,0,0,0,0,0,
0,0,26,0,0,0,0,
231,364,489,457,20,31,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,29,0,0,0,
84,52,487,441,164,19,47,
0,0,0,0,0,0,0,
30,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,82,0,0,0,0,
262,36,162,165,41,72,27,
16,0,66,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
200,441,758,846,232,95,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,201,701,1164,363,173,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,22,51,0,0,0,
0,0,25,0,0,0,0,
80,258,296,742,152,38,0,
10,0,0,0,0,0,0,
24,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
152,60,451,354,27,0,0,
