2010 Education by Immigration status in Virginia, race/ethnicity, gender, age 25+, wgtd 2008-10 ACS, SSDAN/U-Mich
5
RaceEth,Gender,AgeEduc,Immentry,EducAll
7,2,5,5,7
NhWhite, Black, Asian, Hispanic, AmIndian, NHOther,NHMulti
Male, Female
25-34,35-44,45-54,55-64,65+
Native,FB<1980,FB80-89,FB90-99,FB00-Current
0-9Yrs,10-12Yrs,HSGrad,SomeColl,CollGrad,Masters,PhD-Prof
6910,15421,78764,92796,82466,22116,9948,
0,95,0,73,121,54,277,
0,0,509,337,352,186,212,
75,119,440,1183,928,541,302,
170,97,1515,1509,1653,1085,529,
10101,19191,86991,90851,76390,40289,16420,
0,28,256,376,426,340,75,
122,123,312,750,771,417,241,
117,297,1115,796,1294,1232,578,
331,304,681,654,1844,763,913,
17148,24179,105921,101862,79630,48008,18780,
36,49,784,1220,1320,970,400,
110,208,421,1010,1055,866,510,
29,274,634,655,1203,650,575,
132,93,455,462,662,590,156,
21784,14666,72764,81099,67285,45466,23390,
248,114,1116,1284,1390,1198,846,
0,35,242,349,428,284,619,
174,20,419,113,491,311,361,
256,0,256,217,368,263,105,
46108,21245,79815,64330,49523,35085,22389,
704,553,1177,1575,1082,968,1732,
0,56,137,203,311,250,236,
71,32,0,27,198,99,156,
61,43,322,101,183,98,30,
4534,9748,53768,90963,92530,38448,10533,
0,0,35,0,122,78,21,
0,58,125,466,644,254,183,
113,27,345,1144,1453,599,231,
105,235,1428,2098,3098,1349,476,
5585,10534,74176,101911,92153,43888,12040,
21,30,367,424,411,195,216,
49,180,141,415,504,243,207,
275,130,1382,1856,2126,1339,763,
200,95,969,1021,2071,914,422,
10771,15857,99669,124196,96718,43143,12659,
27,115,607,1334,1033,595,389,
39,208,743,1833,1011,497,179,
145,172,798,1002,1265,504,402,
170,31,507,501,1152,487,145,
15148,14652,92060,100652,64064,43309,10755,
218,299,1525,2965,1443,973,289,
100,96,435,826,498,465,184,
49,39,545,453,600,263,161,
124,35,410,300,437,139,73,
50304,37960,144519,94725,47514,22489,5648,
1247,1536,5570,5753,1697,971,657,
251,86,454,192,359,162,178,
475,249,408,96,205,80,43,
296,0,247,155,177,21,69,
4626,10201,31412,29645,11697,2015,729,
0,0,0,0,0,0,0,
0,39,309,419,103,54,0,
66,191,807,825,663,116,0,
145,414,1080,2135,1107,657,0,
5049,10226,36654,27034,9803,4624,1086,
0,0,0,267,88,132,22,
36,20,180,474,315,307,26,
91,69,802,910,660,746,154,
279,399,1446,1516,1007,481,265,
7951,14295,37719,28063,9570,4321,1045,
42,0,260,336,74,522,58,
245,91,360,1014,890,349,98,
119,196,583,912,563,452,21,
113,646,649,308,591,221,121,
8770,9131,22681,17662,6522,3292,1079,
143,107,248,318,324,229,106,
91,0,249,320,146,118,75,
60,38,199,109,67,33,65,
319,61,112,119,21,39,0,
16528,8452,14511,9363,2963,2617,938,
64,63,269,217,162,61,92,
0,0,12,0,42,138,0,
71,0,52,0,29,57,0,
43,25,50,171,85,0,25,
2681,8121,24259,39670,16071,5783,1337,
0,0,0,120,28,27,0,
0,46,149,294,335,154,0,
0,236,276,1130,1041,155,56,
338,644,1075,2252,1341,123,15,
3476,7434,29566,40742,15033,7902,2182,
0,0,71,297,27,206,0,
0,97,177,508,659,79,20,
148,187,1447,1630,511,618,27,
284,182,1196,1027,569,242,213,
4512,11558,33154,40885,15958,7177,1270,
98,65,233,664,340,110,116,
286,125,458,1018,746,324,20,
114,319,610,655,614,71,13,
179,142,852,363,225,53,0,
6391,9058,25482,25232,9091,5333,1407,
166,33,260,402,282,114,0,
0,43,200,431,119,0,0,
22,54,337,119,55,86,32,
331,262,285,90,116,0,0,
20722,14372,25172,14378,5473,3695,791,
51,139,272,108,0,72,21,
206,0,31,98,33,23,0,
173,82,202,80,59,0,0,
401,0,44,182,0,0,0,
0,232,750,2084,3351,936,513,
19,28,41,46,184,35,119,
0,118,252,1436,1536,463,254,
147,304,1381,2967,2430,1773,349,
169,374,528,1776,5179,5903,1125,
64,0,348,1225,1228,785,550,
0,106,162,895,1426,560,552,
261,410,829,1473,2141,1098,279,
609,435,1380,1755,3839,5212,1160,
249,449,620,608,3951,1898,722,
0,48,164,367,603,664,207,
