2010 Education by Immigration status in Vermont, race/ethnicity, gender, age 25+, wgtd 2008-10 ACS, SSDAN/U-Mich
5
RaceEth,Gender,AgeEduc,Immentry,EducAll
7,2,5,5,7
NhWhite, Black, Asian, Hispanic, AmIndian, NHOther,NHMulti
Male, Female
25-34,35-44,45-54,55-64,65+
Native,FB<1980,FB80-89,FB90-99,FB00-Current
0-9Yrs,10-12Yrs,HSGrad,SomeColl,CollGrad,Masters,PhD-Prof
527,1721,11063,8742,7047,830,374,
0,0,0,15,0,0,0,
0,0,16,125,0,0,0,
0,0,66,227,33,89,0,
0,0,249,44,105,134,0,
886,2618,12699,8587,8533,2342,1288,
37,0,0,0,119,0,0,
0,0,0,0,58,0,0,
0,13,239,59,13,0,0,
0,0,41,146,18,31,0,
1225,2305,18534,11205,8559,3325,1634,
66,14,576,209,36,38,8,
17,13,37,14,145,0,28,
29,70,78,51,25,50,215,
0,0,0,46,71,13,0,
1224,1133,12961,9754,8190,4447,2217,
55,274,271,147,127,34,104,
0,0,21,0,40,10,57,
0,0,254,49,132,20,0,
0,0,59,57,115,0,23,
4653,2435,10747,6757,5758,3657,2830,
187,91,355,219,166,267,164,
0,0,0,22,36,0,56,
0,0,0,0,0,22,0,
0,0,0,0,0,0,0,
453,1059,7253,8765,10512,2729,855,
0,0,0,67,0,0,0,
0,0,0,0,14,0,0,
0,0,162,15,0,0,0,
0,0,81,105,119,93,38,
757,1030,9243,13048,8221,3956,966,
0,0,41,0,78,27,0,
0,0,0,16,64,14,0,
71,0,270,290,276,10,121,
0,0,0,103,107,20,0,
1177,1292,14773,14245,10867,5193,1248,
55,15,288,0,89,0,20,
0,12,0,175,88,177,12,
0,157,42,9,69,66,0,
41,21,0,12,62,0,36,
818,1165,11439,10692,9024,6771,1340,
26,83,208,316,90,130,0,
26,10,113,84,52,0,0,
0,0,203,103,0,0,16,
0,0,82,11,16,0,0,
4281,3615,17880,9347,7146,3646,647,
457,183,697,693,43,95,0,
42,0,24,27,49,60,0,
0,0,0,12,44,0,0,
0,0,23,0,26,0,0,
0,0,0,36,0,114,55,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,45,0,155,24,0,0,
0,60,0,110,76,229,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
21,0,9,19,0,0,0,
0,0,0,127,0,0,17,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,108,0,0,0,
0,0,0,0,0,0,20,
0,0,22,42,0,87,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
38,0,0,24,30,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,328,17,30,26,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,68,37,0,0,
0,0,0,0,101,89,0,
0,0,44,0,0,0,0,
0,0,0,48,0,0,0,
0,0,0,0,0,0,0,
0,0,0,27,0,0,0,
0,0,0,47,0,0,0,
0,0,0,0,0,0,0,
