2010 Education by Immigration status in Washington, race/ethnicity, gender, age 25+, wgtd 2008-10 ACS, SSDAN/U-Mich
5
RaceEth,Gender,AgeEduc,Immentry,EducAll
7,2,5,5,7
NhWhite, Black, Asian, Hispanic, AmIndian, NHOther,NHMulti
Male, Female
25-34,35-44,45-54,55-64,65+
Native,FB<1980,FB80-89,FB90-99,FB00-Current
0-9Yrs,10-12Yrs,HSGrad,SomeColl,CollGrad,Masters,PhD-Prof
4852,18384,75268,111203,69091,12871,6552,
0,0,0,92,100,0,0,
39,108,380,456,352,129,25,
23,330,1244,1737,786,327,148,
132,278,1522,1295,3292,1483,668,
5282,14747,75346,112649,71721,22599,10310,
50,70,316,602,363,289,169,
154,139,188,642,669,181,40,
181,227,1396,2122,1643,1067,659,
461,207,1695,1714,1958,1100,568,
6656,18275,101200,129383,76454,28112,14288,
79,56,958,2043,937,598,102,
0,334,410,1061,1156,774,377,
137,279,1459,1271,1814,882,619,
46,124,761,1207,685,416,220,
4216,8521,63979,125814,69670,33048,17910,
223,211,1065,2540,1742,920,383,
0,92,701,566,413,132,361,
69,130,285,820,349,191,331,
127,230,536,316,370,90,117,
15545,18036,77632,87704,57361,26105,18558,
881,780,2394,3799,2634,1527,1410,
68,94,124,168,284,169,243,
549,110,367,302,235,139,122,
109,0,60,194,186,74,0,
3792,10682,57394,112749,75450,21700,6883,
41,0,31,0,81,0,39,
23,45,319,794,608,82,176,
105,62,1323,2154,548,493,210,
285,295,1552,2469,3102,777,645,
3016,9863,57963,120840,73491,30158,9164,
30,0,457,782,515,237,239,
110,72,314,775,369,328,81,
104,122,1343,3094,1307,1060,600,
226,229,1371,1961,1413,1306,410,
5196,11903,86736,154417,76141,29705,9666,
141,191,1466,2845,1389,472,225,
86,110,632,1229,890,952,60,
182,387,2076,2291,1895,663,194,
110,131,1228,1338,593,216,131,
4278,9388,76407,137394,64599,32696,9247,
105,391,1916,4425,1627,987,425,
49,38,493,889,366,95,111,
242,114,507,611,580,317,0,
225,97,354,494,151,121,73,
