2010 Education by Immigration status in Wisconsin, race/ethnicity, gender, age 25+, wgtd 2008-10 ACS, SSDAN/U-Mich
5
RaceEth,Gender,AgeEduc,Immentry,EducAll
7,2,5,5,7
NhWhite, Black, Asian, Hispanic, AmIndian, NHOther,NHMulti
Male, Female
25-34,35-44,45-54,55-64,65+
Native,FB<1980,FB80-89,FB90-99,FB00-Current
0-9Yrs,10-12Yrs,HSGrad,SomeColl,CollGrad,Masters,PhD-Prof
3713,13529,87516,101299,60757,10832,5102,
0,0,59,0,78,0,0,
0,44,136,0,0,46,0,
0,0,157,213,74,271,0,
0,0,444,345,1042,310,310,
3353,13905,98293,100967,64758,19858,7885,
0,166,77,86,129,82,9,
28,0,117,48,145,0,49,
415,92,279,174,294,100,286,
0,0,77,168,587,320,206,
5702,20240,144696,122909,58904,20723,10993,
0,56,647,351,396,182,128,
0,0,88,149,289,127,321,
187,203,235,379,326,189,252,
0,0,144,174,38,192,139,
5345,12405,100862,93172,56387,23230,13797,
284,192,1177,1126,667,356,284,
0,14,50,58,0,149,209,
0,34,12,18,101,98,0,
0,0,168,50,224,212,0,
31146,23565,121948,63519,36575,18357,12884,
884,514,1796,1546,605,290,790,
0,0,47,64,51,55,41,
14,0,41,0,0,43,46,
38,0,47,3,0,0,0,
2799,9267,55599,102400,76040,20197,5260,
0,0,0,0,14,13,0,
0,0,37,376,0,0,44,
0,0,197,232,418,166,51,
57,69,299,503,698,705,112,
2592,7032,77632,109390,73491,25011,6796,
0,32,363,129,194,190,47,
0,0,191,245,145,185,179,
11,38,270,480,454,311,201,
0,0,254,463,368,373,92,
4286,11619,127683,138698,68048,27066,6207,
78,41,379,935,246,89,14,
0,35,267,478,218,94,0,
127,29,281,442,328,278,131,
48,0,137,22,293,141,54,
4890,9337,111683,98064,50253,26531,4779,
26,257,1495,1309,530,311,186,
12,0,25,131,52,11,0,
0,0,175,107,181,111,94,
50,92,69,88,69,174,61,
36754,30912,193452,80321,38340,15876,3200,
2421,1588,3784,2167,603,419,56,
96,0,188,9,37,49,63,
227,0,176,128,142,0,174,
147,47,89,0,44,0,0,
469,3421,8569,6608,1324,547,86,
0,0,0,0,0,0,0,
0,0,30,0,0,0,0,
42,0,28,219,58,0,72,
93,0,156,28,308,30,147,
594,3643,9180,6261,1768,320,69,
0,0,42,38,0,0,0,
17,0,24,40,164,0,0,
0,0,141,0,88,157,47,
45,46,111,34,99,98,20,
1416,3613,8404,5598,2210,143,70,
0,0,0,0,39,40,0,
76,0,0,26,276,29,77,
0,0,0,154,0,0,34,
0,0,56,0,60,48,0,
635,1828,3409,5153,915,387,150,
0,0,0,176,16,37,0,
0,0,46,0,0,0,99,
41,0,0,0,0,61,0,
0,0,0,0,0,0,0,
2130,1811,2274,1354,299,133,116,
0,0,0,0,0,0,11,
0,0,21,39,0,0,0,
0,0,0,0,0,0,0,
83,0,0,0,0,0,0,
440,2571,6500,11653,2671,795,323,
0,0,45,0,0,0,0,
0,0,0,0,0,0,0,
70,0,0,28,161,0,0,
219,0,80,133,103,35,55,
345,2348,7565,8185,2353,1169,424,
0,0,0,17,0,0,0,
0,0,0,0,0,0,0,
