2010 Education by Immigration status in West Virginia, race/ethnicity, gender, age 25+, wgtd 2008-10 ACS, SSDAN/U-Mich
5
RaceEth,Gender,AgeEduc,Immentry,EducAll
7,2,5,5,7
NhWhite, Black, Asian, Hispanic, AmIndian, NHOther,NHMulti
Male, Female
25-34,35-44,45-54,55-64,65+
Native,FB<1980,FB80-89,FB90-99,FB00-Current
0-9Yrs,10-12Yrs,HSGrad,SomeColl,CollGrad,Masters,PhD-Prof
4558,6996,41791,28032,13614,3761,1873,
0,0,0,0,0,0,0,
0,0,0,153,0,0,0,
0,0,0,0,0,0,22,
0,0,59,246,132,37,18,
6457,9635,48992,27898,12699,3248,2346,
0,0,13,0,0,0,37,
0,0,0,46,0,0,0,
0,0,0,0,54,27,46,
0,0,58,30,50,12,15,
9807,12077,60180,26433,12118,3806,3167,
0,0,128,61,33,41,0,
0,0,0,59,86,8,77,
0,0,0,9,0,131,0,
0,0,0,49,0,0,18,
12278,8312,48842,28273,12815,6978,3315,
0,0,45,108,132,26,165,
0,24,31,36,0,0,69,
0,0,0,62,0,0,23,
0,0,0,0,0,0,0,
27555,12433,47024,19824,8377,4435,3264,
49,57,80,43,23,0,37,
0,0,44,28,0,0,112,
92,0,0,19,0,6,0,
0,0,0,0,0,6,0,
3355,5623,32618,35389,16783,5705,1501,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,51,17,0,22,
0,0,59,0,231,48,0,
4762,6943,40619,36128,15489,6325,1509,
0,0,0,0,0,0,0,
0,0,81,66,0,0,0,
17,35,0,0,115,18,0,
0,0,0,106,11,0,0,
6966,8794,53298,39350,14368,7522,1660,
0,0,81,84,48,0,0,
0,0,18,30,114,40,0,
0,0,0,49,0,55,129,
0,0,18,20,20,0,0,
8241,8089,54992,28934,11388,10493,1952,
96,0,168,56,180,51,0,
0,0,0,108,0,26,0,
69,0,27,0,0,0,28,
30,0,0,8,0,0,0,
30816,18426,70786,25459,7489,4689,1020,
310,181,526,326,84,91,0,
0,0,0,23,0,0,0,
24,0,0,0,25,31,0,
0,0,0,0,0,0,0,
88,416,2058,1439,292,0,0,
0,0,19,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,128,54,151,0,
201,200,2225,2206,337,30,0,
19,0,34,0,68,0,0,
0,0,151,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,32,0,0,47,
92,397,2356,762,257,234,34,
0,0,39,0,0,0,0,
0,0,0,0,0,0,28,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
171,304,1510,1103,306,116,0,
0,114,0,0,0,21,0,
0,0,24,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
475,405,836,220,59,113,81,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
73,302,870,1559,444,20,18,
0,0,0,0,0,0,0,
0,18,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,76,11,10,30,
116,144,1248,1130,137,261,30,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,40,0,0,0,0,
0,0,0,0,0,0,21,
194,374,1663,1522,363,134,0,
0,0,0,0,0,0,14,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
161,142,1369,1016,232,18,47,
0,0,0,0,0,0,0,
0,19,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
559,697,1875,406,568,142,43,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,60,12,105,0,22,
0,0,0,0,0,0,0,
0,0,0,10,67,0,0,
38,0,56,0,125,0,31,
17,0,0,31,85,103,352,
0,0,0,88,0,19,0,
0,0,0,0,60,0,0,
0,0,38,35,0,49,0,
0,28,18,3,101,0,96,
14,0,10,0,0,74,61,
0,0,56,76,0,0,15,
0,0,0,0,0,0,0,
0,0,0,0,0,138,127,
0,0,12,0,0,87,121,
138,0,0,0,36,16,34,
0,0,0,0,0,0,0,
0,0,51,0,0,64,117,
0,0,0,0,0,0,26,
0,0,0,0,10,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,61,50,264,
0,0,0,0,0,0,0,
0,0,0,0,45,51,0,
0,0,0,0,13,0,0,
0,0,0,0,27,55,59,
0,0,0,0,0,0,0,
0,0,0,0,76,0,0,
25,0,85,0,46,0,0,
0,0,29,86,379,133,76,
0,0,0,0,0,0,25,
0,0,11,20,0,0,0,
43,0,31,0,47,0,0,
213,14,68,0,60,0,54,
62,0,0,107,113,165,92,
0,0,35,58,0,0,0,
0,24,32,110,57,23,0,
0,0,88,84,4,133,8,
0,31,0,22,163,0,20,
0,31,23,0,0,12,0,
0,0,0,91,0,0,0,
57,19,53,0,30,15,41,
43,66,0,0,0,0,39,
0,0,4,0,0,0,0,
52,0,23,0,0,0,0,
0,36,7,0,0,0,0,
36,42,19,29,46,81,64,
0,0,0,0,54,30,0,
22,52,20,0,0,0,0,
0,0,0,0,0,0,0,
68,86,181,350,46,40,82,
0,0,0,0,0,0,0,
32,0,0,0,0,0,0,
113,0,32,26,0,0,0,
0,0,35,0,0,51,14,
145,19,505,663,279,0,20,
0,0,34,108,0,0,0,
53,0,0,0,0,0,0,
88,40,32,27,0,0,0,
32,0,0,0,0,0,0,
0,101,100,119,42,0,33,
31,0,0,0,0,0,0,
217,34,0,0,0,0,0,
33,0,0,0,0,0,0,
61,0,0,0,0,0,0,
30,64,74,253,68,26,12,
0,0,0,64,65,18,58,
0,0,0,0,0,0,0,
0,0,0,0,0,0,69,
0,0,0,0,0,0,0,
60,64,210,68,34,54,24,
0,0,74,66,0,45,13,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
64,33,199,443,153,65,19,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
27,18,94,0,18,0,0,
63,0,24,0,0,35,0,
0,123,252,224,137,56,25,
0,0,0,81,0,0,0,
0,0,68,25,26,0,0,
0,0,25,97,27,0,0,
174,0,20,56,70,0,0,
58,19,187,110,32,0,0,
0,0,0,16,0,0,36,
0,0,51,14,74,0,0,
0,0,0,79,0,14,0,
0,0,0,0,0,0,0,
11,10,208,67,84,42,0,
0,0,0,0,0,43,0,
18,0,0,0,0,24,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
60,26,382,114,0,50,0,
31,0,148,86,0,19,0,
0,0,0,0,0,0,0,
49,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,94,211,17,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
32,0,159,51,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
42,53,239,115,31,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,23,
0,0,0,0,0,0,0,
13,32,230,175,0,27,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,16,0,0,43,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,113,42,113,33,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,15,6,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,27,242,91,0,0,4,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
63,0,82,16,18,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
29,0,27,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,32,0,24,47,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,15,0,
0,0,0,31,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,22,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,26,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,35,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,35,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
147,168,325,654,115,0,52,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,12,0,51,
90,129,469,349,0,27,0,
0,0,0,23,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,26,0,0,0,
437,343,534,311,228,0,0,
0,0,0,14,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
12,0,439,256,84,80,0,
0,38,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
297,34,94,99,85,22,27,
0,0,0,0,0,0,20,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
115,85,518,721,216,92,111,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
117,38,607,513,286,15,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
205,37,579,446,19,23,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
209,73,477,303,110,17,31,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
323,248,440,180,68,21,0,
0,0,11,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0
*****
