2010 Education by Immigration status in Wyoming, race/ethnicity, gender, age 25+, wgtd 2008-10 ACS, SSDAN/U-Mich
5
RaceEth,Gender,AgeEduc,Immentry,EducAll
7,2,5,5,7
NhWhite, Black, Asian, Hispanic, AmIndian, NHOther,NHMulti
Male, Female
25-34,35-44,45-54,55-64,65+
Native,FB<1980,FB80-89,FB90-99,FB00-Current
0-9Yrs,10-12Yrs,HSGrad,SomeColl,CollGrad,Masters,PhD-Prof
683,1447,10783,12446,5507,827,537,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,16,0,56,67,20,0,
77,916,10124,11477,4803,1728,978,
0,0,37,0,0,0,0,
0,0,0,22,0,0,0,
0,0,0,0,0,0,0,
0,0,7,0,0,0,61,
374,1436,14676,14070,4858,1769,912,
0,35,0,0,82,0,70,
0,0,0,0,0,0,0,
0,0,7,0,0,0,0,
0,0,0,0,0,0,0,
389,1111,8805,12549,5838,2875,1480,
24,0,169,22,37,0,36,
0,0,0,0,0,0,0,
0,0,9,0,0,0,41,
0,0,0,0,44,0,0,
2670,1684,9001,7726,4114,2646,1405,
73,0,138,116,25,42,0,
0,0,0,0,0,0,0,
0,0,0,0,0,91,0,
0,0,0,0,0,0,0,
306,1000,6291,13459,6365,1309,351,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,84,69,0,0,
241,642,7201,11096,6184,1411,393,
0,0,0,0,103,93,0,
132,0,0,0,0,50,0,
0,0,41,0,0,0,0,
0,0,0,53,20,43,0,
557,1345,11073,15268,6036,2455,657,
0,0,115,67,139,0,0,
0,0,0,0,6,0,0,
0,0,0,76,0,0,0,
30,0,0,0,8,0,21,
359,1130,8049,13247,4794,2757,806,
43,26,65,30,103,0,0,
0,0,0,0,0,0,0,
0,0,36,0,38,0,0,
0,0,68,0,0,81,0,
2382,2391,13678,9851,3870,1322,266,
148,7,238,138,26,31,48,
0,0,0,0,0,0,0,
0,0,0,0,0,0,85,
0,0,0,0,0,0,0,
0,0,76,68,24,17,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,14,21,0,0,0,
0,51,165,84,18,20,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,19,0,0,0,
0,0,0,0,0,0,0,
0,0,72,133,54,83,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,41,
0,0,0,0,0,0,0,
0,0,0,88,102,34,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
110,21,182,67,10,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,97,0,11,18,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,48,0,0,0,
0,0,0,0,0,0,0,
0,0,98,14,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,63,10,24,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,49,0,
0,0,0,0,0,0,0,
0,0,35,27,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,47,145,59,4,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
6,0,0,0,45,0,0,
0,0,0,0,0,0,0,
0,0,59,25,0,0,0,
0,0,0,0,0,0,0,
0,32,0,20,0,30,33,
0,0,126,0,0,0,0,
0,0,0,0,0,0,0,
0,0,9,0,0,0,0,
0,0,0,0,0,0,31,
